observation_id,field_id,obstime,seeing,limmag,exposure_time,filter,processed_fraction
84434604,1,2459598.8460417003,1.5741500000,20.4070500000,30,ztfr,1.00000
84434651,1,2459598.8465162003,1.5812000000,20.4940500000,30,ztfr,1.00000
84434696,1,2459598.8469676003,1.6499500000,20.5603000000,30,ztfr,1.00000
84434741,1,2459598.8474190002,1.5494500000,20.5740000000,30,ztfr,1.00000
84434788,1,2459598.8478819001,1.6287000000,20.6038500000,30,ztfr,1.00000
84434834,1,2459598.8483449002,1.5680000000,20.6258000000,30,ztfr,1.00000
84434879,1,2459598.8487963001,1.6299000000,20.5596500000,30,ztfr,0.96875
84434925,1,2459598.8492593002,1.4790500000,20.5350500000,30,ztfr,1.00000
84434969,1,2459598.8496991000,1.6119500000,20.4793500000,30,ztfr,1.00000
84435016,1,2459598.8501619999,1.5719000000,20.5783000000,30,ztfr,1.00000
